"","id","StartDate","EndDate","studytime","bottest_filter","handw","discomfort1_1","discomfort1_2","discomfort1_3","discomfort1_4","discomfort1_5","discomfort1_6","discomfort1_7","discomfort1_8","dginstrux","comp2","fairQ","fairQ_rt_First.Click","fairQ_rt_Last.Click","fairQ_rt_Page.Submit","fairQ_rt_Click.Count","assignrt_First.Click","assignrt_Last.Click","assignrt_Page.Submit","assignrt_Click.Count","forced","preventRT_First.Click","preventRT_Last.Click","preventRT_Page.Submit","preventRT_Click.Count","comp1","r1_rt_First.Click","r1_rt_Last.Click","r1_rt_Page.Submit","r1_rt_Click.Count","dg1","dg1_rt_First.Click","dg1_rt_Last.Click","dg1_rt","dg1_rt_Click.Count","r2_rt_First.Click","r2_rt_Last.Click","r2_rt_Page.Submit","r2_rt_Click.Count","dg2","dg2_rt_First.Click","dg2_rt_Last.Click","dg2_rt","dg2_rt_Click.Count","r3_rt_First.Click","r3_rt_Last.Click","r3_rt_Page.Submit","r3_rt_Click.Count","dg3","dg3_rt_First.Click","dg3_rt_Last.Click","dg3_rt","dg3_rt_Click.Count","r4_rt_First.Click","r4_rt_Last.Click","r4_rt_Page.Submit","r4_rt_Click.Count","dg4","dg4_rt_First.Click","dg4_rt_Last.Click","dg4_rt","dg4_rt_Click.Count","r5_rt_First.Click","r5_rt_Last.Click","r5_rt_Page.Submit","r5_rt_Click.Count","dg5","dg5_rt_First.Click","dg5_rt_Last.Click","dg5_rt","dg5_rt_Click.Count","num1","num2","num3","num4","num5","num6","num7","num8a","num8b","num9","num10","num11","num12","num13","num14","compcheck","Guess","memQrt_First.Click","memQrt_Last.Click","memQrt_Page.Submit","memQrt_Click.Count","conf","discomfort3_1","discomfort3_2","discomfort3_3","discomfort3_4","discomfort3_5","discomfort3_6","discomfort3_7","discomfort3_8","responsible","gender","age","deception1","deception2","feedbackexcl","dgXP","id.1","dg1.1","dg2.1","dg3.1","dg4.1","dg5.1","Numeracy","DGAverage","AveRT","GuessVsAve","GuessVsAveA","DG.stdev","FairVsActual","discomfort_t1","discomfort_t2","diss","posA_t1","posA_t2","posAdiff"
"177",178,"7/12/19 7:50","7/12/19 8:02",12,1,"if you cant be there in person send a letter",1,1,1,7,7,5,6,5,"I have carefully read and understand the instructions above.",TRUE,30,5.358,5.929,7.06,2,0,0,2.008,0,"I have carefully read and understand the instructions above.",26.284,26.284,27.077,1,FALSE,0,0,3.007,0,0,5.24,5.24,8.637,1,0,0,3.02,0,0,3.308,3.308,4.448,1,0,0,3.107,0,0,3.499,3.499,4.662,1,0,0,3.007,0,0,4.681,4.681,6.032,1,0,0,3.107,0,0,3.674,3.674,5.055,1,"500","1","1","1 in 10","10%","50","200","1","10","20","20","1 in 12 chance","1","7","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall transferring",0,3.221,4.102,5.528,2,7,1,1,1,7,6,6,5,6,6,"Female",43,1,1,1,2,613,0,0,0,0,0,5,0,5.7668,0,0,0,30,1,1,0,6,6,0
"178",179,"7/12/19 7:48","7/12/19 8:02",14,1,"If you can't be there in person, send a letter.",1,1,1,3,5,5,4,5,"I have carefully read and understand the instructions above.",FALSE,0,12.702,16.049,17.141,2,0,0,2.006,0,"I have carefully read and understand the instructions above.",28.13,28.13,38.712,1,FALSE,0,0,3.006,0,50,4.845,4.845,6.256,1,0,0,3.108,0,50,2.961,2.961,5.934,1,0,0,3.006,0,50,2.621,2.621,4.852,1,0,0,3.006,0,50,3.036,3.036,5.15,1,0,0,3.008,0,50,2.957,2.957,4.244,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,5.277,7.753,8.945,2,7,1,1,1,3,5,5,4,3,1,"Male",46,1,1,1,2,250,50,50,50,50,50,13,50,5.2872,0,0,0,-50,1,1,0,4.4,4,-0.4
"179",180,"7/12/19 7:55","7/12/19 8:02",7,1,"If you can't be there in person, send a letter.",1,1,1,3,1,4,1,4,"I have carefully read and understand the instructions above.",TRUE,10,3.37,3.37,4.589,1,0,0,2.009,0,"I have carefully read and understand the instructions above.",0.923,1.452,12.931,2,TRUE,0,0,3.008,0,50,3.074,3.074,3.726,1,0,0,3.007,0,50,3.011,3.011,3.906,1,0,0,3.009,0,40,2.688,2.688,3.511,1,0,0,3.008,0,40,4.501,4.501,6.201,1,0,0,3.008,0,30,3.6,3.6,9.753,1,"600","10","0.05","1 in 10","10%","2","2","10","1","20","20","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",45,1.63,8.986,10.053,2,7,2,2,2,2,2,2,2,2,4,"Other",23,1,1,1,1,173,50,50,40,40,30,9,42,5.4194,3,3,8.36660026534076,-32,1,2,1,2.6,2,-0.6
"180",181,"7/12/19 7:49","7/12/19 8:02",13,1,"If you can't be there in person, send a letter.",1,1,1,5,6,3,2,5,"I have carefully read and understand the instructions above.",FALSE,20,19.724,19.724,21.933,1,0,0,2.107,0,"I have carefully read and understand the instructions above.",6.313,6.313,27.196,1,FALSE,0,0,3.005,0,10,5.826,5.826,7.865,1,0,0,3.006,0,10,2.074,2.074,3.522,1,0,0,3.006,0,10,1.283,1.283,2.601,1,0,0,3.005,0,10,2.413,2.413,3.616,1,0,0,3.006,0,10,2.572,2.572,5.719,1,"500","100","0.001","1 in 10","10%","2","2","10","100","20","50","1 in 12 chance","80","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",10,8.938,8.938,14.037,1,7,1,1,1,4,5,4,2,5,1,"Male",25,1,1,1,2,257,10,10,10,10,10,12,10,4.6646,0,0,0,10,1,1,0,4.2,4,-0.2
"181",182,"7/12/19 7:50","7/12/19 8:02",12,1,"regular old put-a-stamp-on-it
mail mail
If you can't be there in person, send a letter
And if you have trouble finding
the time, let us help you!",1,1,1,7,7,6,5,6,"I have carefully read and understand the instructions above.",FALSE,50,10.827,10.827,14.209,1,0,0,2.006,0,"I have carefully read and understand the instructions above.",28.936,28.936,30.33,1,FALSE,0,0,3.108,0,20,4.489,4.489,7.36,1,0,0,3.007,0,20,5.222,9.224,10.83,2,0,0,3.006,0,20,3.405,3.405,6.215,1,0,0,3.108,0,20,2.485,2.485,5.879,1,0,0,3.108,0,20,2.732,2.732,4.768,1,"500","10","1","1 in 10","10%","2","2","10","100","20","1","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",20,8.093,8.093,14.228,1,5,1,1,1,7,7,6,5,6,1,"Female",64,1,1,1,2,202,20,20,20,20,20,11,20,7.0104,0,0,0,30,1,1,0,6.2,6.2,0
"183",184,"7/12/19 7:53","7/12/19 8:02",9,1,"If you can't be there in person, send a letter",2,2,1,6,7,6,4,4,"I have carefully read and understand the instructions above.",TRUE,50,5.839,5.839,7.072,1,0,0,2.012,0,"I have carefully read and understand the instructions above.",19.813,21.994,24.762,2,FALSE,0,0,3.111,0,0,3.201,3.201,6.078,1,0,0,3.012,0,0,1.6,1.6,2.955,1,0,0,3.01,0,0,1.301,1.301,2.519,1,0,0,3.009,0,0,1.1,3.243,4.18,2,0,0,3.111,0,0,1.001,1.001,2.273,1,"600","10","5000","1 in 10","10%","2%","2","10","100","20%","5","1 in 12 chance","18%","128","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",0,1.301,4.364,6.073,4,7,1,1,1,7,7,6,4,4,1,"Male",45,1,1,1,1,111,0,0,0,0,0,11,0,3.601,0,0,0,50,1.66666666666667,1,-0.666666666666667,5.4,5.6,0.199999999999999
"184",185,"7/12/19 7:48","7/12/19 8:02",14,1,"If you can't be there in person, send a letter.",3,1,2,6,6,4,4,5,"I have carefully read and understand the instructions above.",FALSE,50,8.541,8.541,9.914,1,0,0,2.022,0,"I have carefully read and understand the instructions above.",27.442,27.442,29.204,1,FALSE,0,0,3.022,0,50,5.266,5.266,9.364,1,0,0,3.13,0,50,4.16,4.16,6.012,1,0,0,3.116,0,50,3.091,3.091,5.222,1,0,0,3.115,0,50,3.899,3.899,6.03,1,0,0,3.119,0,50,2.787,2.787,4.648,1,"500","10","10","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","9","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,1.824,9.903,11.375,3,7,2,1,2,6,7,6,5,6,1,"Female",63,1,1,1,2,677,50,50,50,50,50,12,50,6.2552,0,0,0,0,2,1.66666666666667,-0.333333333333333,5,6,1
"185",186,"7/12/19 7:45","7/12/19 8:02",17,1,"mail mail.",1,1,1,7,6,6,4,6,"I have carefully read and understand the instructions above.",FALSE,20,13.1,15.366,16.836,2,0,0,2.117,0,"I have carefully read and understand the instructions above.",35.031,35.031,36.246,1,FALSE,0,0,3.112,0,0,7.278,7.278,10.022,1,0,0,3.013,0,0,4.896,4.896,6.886,1,0,0,3.113,0,0,3.551,3.551,6.726,1,0,0,3.008,0,0,3.619,3.619,6.299,1,0,0,3.008,0,0,4.915,4.915,6.208,1,"325","100","1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",0,1.628,7.584,9.809,2,7,1,1,2,6,6,6,4,6,1,"Female",64,1,1,1,2,27,0,0,0,0,0,11,0,7.2282,0,0,0,20,1,1.33333333333333,0.333333333333333,5.8,5.6,-0.2
"186",187,"7/12/19 7:53","7/12/19 8:02",9,1,"I you can't be there in person send a letter.",2,1,1,6,6,4,1,4,"I have carefully read and understand the instructions above.",FALSE,20,4.718,8.669,9.812,2,0,0,2.007,0,"I have carefully read and understand the instructions above.",21.431,21.431,22.709,1,FALSE,0,0,3.008,0,20,3.544,3.544,5.787,1,0,0,3.146,0,20,2.775,3.274,4.414,3,0,0,3.169,0,30,2.097,2.097,3.283,1,0,0,3.016,0,30,10.072,10.072,11.249,1,0,0,3.119,0,50,11.279,11.279,12.446,1,"473","10","1","1 in 10","10%","2","2 in 100","1","10","20","0.5","1 in 12 chance","14","48","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall transferring",20,4.034,8.862,10.226,2,2,1,1,1,6,6,6,1,6,4,"Male",23,1,1,1,2,53,20,20,30,30,50,7,30,7.4358,-10,10,12.2474487139159,-10,1.33333333333333,1,-0.333333333333333,4.2,5,0.8
"188",189,"7/12/19 7:50","7/12/19 8:03",13,1,"If you can't be there in person, send a letter.",1,1,1,4,6,5,3,4,"I have carefully read and understand the instructions above.",FALSE,50,5.071,5.071,7.026,1,0,0,2.111,0,"I have carefully read and understand the instructions above.",12.25,12.25,14.529,1,FALSE,0,0,3.108,0,100,3.465,3.465,4.5,1,0,0,3.008,0,100,1.9,1.9,3.182,1,0,0,3.108,0,90,1.4,1.4,3.585,1,0,0,3.107,0,80,1.835,1.835,3.033,1,0,0,3.008,0,90,1.324,1.324,2.296,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",92,12.005,21.047,38.959,3,6,1,1,1,6,6,5,2,5,1,"Male",25,1,1,1,3,101,100,100,90,80,90,14,92,3.3192,0,0,8.36660026534076,-42,1,1,0,4.4,4.8,0.399999999999999
"189",190,"7/12/19 7:52","7/12/19 8:03",11,1,"If you can't be there in person, send a letter.",2,2,2,4,4,2,4,4,"I have carefully read and understand the instructions above.",FALSE,0,9.738,9.738,10.656,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",19.609,19.609,20.33,1,FALSE,0,0,3.009,0,10,3.286,3.286,4.597,1,0,0,3.008,0,10,1.939,2.939,4.328,3,0,0,3.008,0,10,1.625,1.625,2.698,1,0,0,3.007,0,10,1.617,1.617,2.627,1,0,0,3.008,0,10,1.867,1.867,3.034,1,"50","10","10","1 in 10","10%","2","2","10","100","20","1","1 in 12 chance","50","64","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall transferring",10,1.404,5.082,6.091,4,7,NA,1,1,1,1,1,1,2,1,"Female",50,1,1,1,2,333,10,10,10,10,10,10,10,3.4568,0,0,0,-10,2,1.33333333333333,-0.666666666666667,3.6,1.2,-2.4
"190",191,"7/12/19 7:51","7/12/19 8:03",12,1,"If you can't be there in person, send a letter. ",4,4,4,6,6,6,6,5,"I have carefully read and understand the instructions above.",TRUE,20,7.589,7.589,9.131,1,0,0,2.006,0,"I have carefully read and understand the instructions above.",11.647,11.647,13.498,1,FALSE,0,0,3.109,0,50,4.589,4.589,6.047,1,0,0,3.107,0,50,3.687,3.687,4.92,1,0,0,3.107,0,50,4.395,4.395,6.869,1,0,0,3.009,0,50,3.191,3.191,4.68,1,0,0,3.107,0,50,3.273,3.273,4.626,1,"500","1","0.001","1 in 10","10%","2","0.02","10","100","20","50","1 in 12 chance","10","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,3.8,6.412,7.857,2,7,4,4,3,6,6,6,6,6,1,"Male",36,1,1,1,1,235,50,50,50,50,50,12,50,5.4284,0,0,0,-30,4,3.66666666666667,-0.333333333333333,5.8,6,0.2
"191",192,"7/12/19 7:55","7/12/19 8:03",8,1,"If you can't be there in person, send a letter.",2,3,3,6,6,6,3,3,"I have carefully read and understand the instructions above.",TRUE,50,7.901,7.901,11.349,1,0,0,2.015,0,"I have carefully read and understand the instructions above.",3.028,17.29,20.174,3,FALSE,0,0,3.112,0,50,3.426,3.426,5.501,1,0,0,3.007,0,50,1.573,1.573,2.815,1,0,0,3.021,0,50,1.278,2.3,4.372,2,0,0,3.013,0,50,1.201,1.201,3.008,1,0,0,3.112,0,50,2.245,2.245,3.277,1,"750","1","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","8","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall transferring",50,1.864,2.987,4.297,2,7,3,2,2,6,7,5,3,4,7,"Female",41,1,1,1,1,59,50,50,50,50,50,10,50,3.7946,0,0,0,0,2.66666666666667,2.33333333333333,-0.333333333333333,4.8,5,0.2
"194",195,"7/12/19 7:51","7/12/19 8:03",12,1,"And if you have trouble finding the time, let us help you!",2,1,1,3,4,2,1,2,"I have carefully read and understand the instructions above.",FALSE,30,4.851,6.431,7.597,3,0,0,2.012,0,"I have carefully read and understand the instructions above.",17.241,19.603,20.184,2,FALSE,0,0,3.114,0,50,2.663,2.663,6.674,1,0,0,3.009,0,50,1.642,1.642,2.356,1,0,0,3.01,0,50,1.361,1.361,2.103,1,0,0,3.012,0,30,1.713,1.713,2.483,1,0,0,3.11,0,60,1.401,1.401,2.234,1,"500","10","0.001","1 in 10","10%","2","2","10","100","20","0","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",48,26.428,31.955,32.88,2,5,2,2,1,3,4,3,1,4,1,"Female",35,1,1,1,2,290,50,50,50,30,60,12,48,3.17,0,0,10.9544511501033,-18,1.33333333333333,1.66666666666667,0.333333333333333,2.4,3,0.6
"197",198,"7/12/19 7:48","7/12/19 8:03",15,1,"If you can't be there in person, send a letter.",1,1,1,7,7,7,7,7,"I have carefully read and understand the instructions above.",FALSE,10,42.8,42.8,52.339,1,0,0,2.109,0,"I have carefully read and understand the instructions above.",6.347,26.362,27.25,3,FALSE,0,0,3.007,0,10,4.839,4.839,8.44,1,0,0,3.008,0,10,2.545,2.545,4.69,1,0,0,3.11,0,20,2.996,2.996,4.965,1,0,0,3.008,0,10,14.797,14.797,25.42,1,0,0,3.008,0,20,4.047,4.047,5.618,1,"500","10","1","1 in 10","10%","2","2","10","100","5","5","1 in 12 chance","90","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",14,23.779,47.501,51.565,5,4,1,1,1,7,7,7,7,7,1,"Female",31,1,1,1,2,357,10,10,20,10,20,13,14,9.8266,0,0,5.47722557505166,-4,1,1,0,7,7,0
"198",199,"7/12/19 7:54","7/12/19 8:03",9,1,"If you can't be there in person, send a letter.",2,2,2,6,6,5,4,4,"I have carefully read and understand the instructions above.",FALSE,40,8.966,8.966,11.028,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",12.299,12.299,13.254,1,FALSE,0,0,3.108,0,50,2.589,2.589,3.273,1,0,0,3.007,0,50,1.718,1.718,2.399,1,0,0,3.008,0,50,1.42,1.42,2.218,1,0,0,3.107,0,50,2.199,2.199,3.203,1,0,0,3.007,0,50,1.363,2.799,3.842,2,"500","10","0.10%","1 in 10","10%","2%","1 in 200","10","1","20%","50","1 in 37 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,3.89,3.89,5.027,1,5,2,2,2,5,6,4,4,5,2,"Female",33,1,1,1,2,456,50,50,50,50,50,9,50,2.987,0,0,0,-10,2,2,0,5,4.8,-0.2
"199",200,"7/12/19 7:49","7/12/19 8:03",14,1,"If you can't be there in person, please send a letter.",1,1,1,7,7,7,6,7,"I have carefully read and understand the instructions above.",TRUE,50,4.748,5.854,6.997,3,0,0,2.005,0,"I have carefully read and understand the instructions above.",17.935,17.935,19.158,1,FALSE,0,0,3.004,0,50,6.134,6.134,7.213,1,0,0,3.005,0,50,2.409,2.899,4.449,2,0,0,3.005,0,50,2.056,2.056,3.679,1,0,0,3.005,0,50,1.55,1.55,2.611,1,0,0,3.005,0,50,1.406,2.08,3.321,2,"500","100","1%","1 in 10","10%","1% in five years","1 in 500 in 10 years","10","100","20","0.005","1 in 12 chance","90%","64%","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,4.816,7.8,8.804,2,7,1,1,1,7,7,7,7,7,1,"Female",29,1,1,1,2,660,50,50,50,50,50,11,50,4.2546,0,0,0,0,1,1,0,6.8,7,0.2
"201",202,"7/12/19 7:50","7/12/19 8:03",13,1,"If you can't be there in person, send a letter. ",1,1,2,7,7,4,3,5,"I have carefully read and understand the instructions above.",TRUE,50,9.76,9.76,10.485,1,0,0,2.01,0,"I have carefully read and understand the instructions above.",19.272,19.272,20.022,1,FALSE,0,0,3.009,0,20,4.214,4.214,5.051,1,0,0,3.121,0,20,2.363,2.363,3.169,1,0,0,3.112,0,30,2.404,2.404,3.346,1,0,0,3.017,0,40,2.317,2.317,3.337,1,0,0,3.009,0,30,2.13,2.13,2.808,1,"500","10","0.10%","1 in 10","10%","2%","2%","10","100","20","5","1 in 12 chance","90","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",28,3.856,8.031,12.173,6,7,1,1,1,7,7,5,4,4,1,"Male",27,1,1,1,2,41,20,20,30,40,30,15,28,3.5422,0,0,8.36660026534076,22,1.33333333333333,1,-0.333333333333333,5.2,5.4,0.2
"203",204,"7/12/19 7:45","7/12/19 8:04",19,1,"If you can't be there in person, send a letter. ",1,1,1,4,6,5,3,5,"I have carefully read and understand the instructions above.",FALSE,10,12.751,12.751,16.149,1,0,0,2.013,0,"I have carefully read and understand the instructions above.",1.255,27.715,28.787,2,FALSE,0,0,3.025,0,20,5.424,5.424,9.625,1,0,0,3.008,0,20,2.612,2.612,4.341,1,0,0,3.026,0,50,2.381,2.381,4.297,1,0,0,3.111,0,20,1.931,2.797,4.118,2,0,0,3.019,0,30,2.256,2.256,3.566,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","50","128","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",20,39.868,41.081,42.918,2,3,1,1,3,5,5,5,1,4,4,"Male",30,1,1,1,2,428,20,20,50,20,30,12,28,5.1894,-8,8,13.0384048104053,-18,1,1.66666666666667,0.666666666666667,4.6,4,-0.6
"205",206,"7/12/19 7:56","7/12/19 8:04",8,1,"If you can't be there in person, send a letter.",1,1,1,6,7,6,3,5,"I have carefully read and understand the instructions above.",FALSE,0,4.232,4.232,5.047,1,0,0,2.11,0,"I have carefully read and understand the instructions above.",18.901,18.901,20.402,1,FALSE,0,0,3.008,0,50,27.167,27.167,28.196,1,0,0,3.109,0,50,2.768,2.768,3.341,1,0,0,3.006,0,50,1.942,1.942,2.7,1,0,0,3.109,0,50,4.027,4.027,4.688,1,0,0,3.007,0,50,1.831,1.831,2.499,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","18","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,0.573,3.253,3.968,4,7,1,1,1,6,7,4,3,5,1,"Male",23,1,1,1,2,216,50,50,50,50,50,13,50,8.2848,0,0,0,-50,1,1,0,5.4,5,-0.4
"206",207,"7/12/19 7:49","7/12/19 8:04",15,1,"If you can't be there in person, send a letter.",2,1,2,7,7,7,5,6,"I have carefully read and understand the instructions above.",FALSE,50,4.593,4.593,5.691,1,0,0,2.112,0,"I have carefully read and understand the instructions above.",1.831,1.831,7.982,1,FALSE,0,0,3.01,0,30,5.715,5.715,6.484,1,0,0,3.109,0,30,3.095,3.965,4.512,2,0,0,3.107,0,20,6.287,6.287,7.198,1,0,0,3.108,0,30,2.682,2.682,3.582,1,0,0,3.11,0,20,1.611,1.611,2.467,1,"292","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","9","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",29,1.452,11.701,12.639,3,7,1,4,2,7,7,7,5,6,7,"Female",38,1,1,1,1,371,30,30,20,30,20,13,26,4.8486,3,3,5.47722557505166,24,1.66666666666667,2.33333333333333,0.666666666666667,6.4,6.4,0
"208",209,"7/12/19 7:52","7/12/19 8:04",12,1,"mail mail. ",1,1,1,6,6,4,4,6,"I have carefully read and understand the instructions above.",FALSE,50,8.656,8.656,14.268,1,0,0,2.013,0,"I have carefully read and understand the instructions above.",23.817,23.817,24.773,1,FALSE,0,0,3.112,0,90,6.654,6.654,7.853,1,0,0,3.111,0,70,3.837,3.837,4.82,1,0,0,3.02,0,80,3.226,3.226,4.479,1,0,0,3.011,0,90,3.552,3.552,4.762,1,0,0,3.115,0,70,2.9,2.9,3.767,1,"500","10","10%","1 in 10","10%","2%","2","10","100","20","5","1 in 12 chance","90","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",80,5.14,9.4,32.535,5,4,3,3,2,6,5,5,3,5,1,"Male",60,1,1,1,2,79,90,70,80,90,70,15,80,5.1362,0,0,10,-30,1,2.66666666666667,1.66666666666667,5.2,4.8,-0.4
"209",210,"7/12/19 7:51","7/12/19 8:04",13,1,"If you can't be there in person, send a letter.",1,1,1,7,7,6,3,7,"I have carefully read and understand the instructions above.",FALSE,0,4.901,16.18,21.812,5,0,0,2.008,0,"I have carefully read and understand the instructions above.",23.484,23.484,25.238,1,FALSE,0,0,3.106,0,20,4.4,4.4,6.57,1,0,0,3.107,0,20,3.187,3.187,5.581,1,0,0,3.106,0,20,2.7,2.7,5.146,1,0,0,3.009,0,20,3.075,3.075,5,1,0,0,3.006,0,20,2.6,2.6,6.091,1,"122","10","10","1 in 10","10%","2","2","1","100","5","10","1 in 12 chance","10","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",20,5.7,8.5,10.752,3,7,1,1,1,7,7,4,4,7,1,"Female",43,1,1,1,1,559,20,20,20,20,20,9,20,5.6776,0,0,0,-20,1,1,0,6,5.8,-0.2
"211",212,"7/12/19 7:50","7/12/19 8:04",14,1,"If you can’t be there in person, send a letter. ",3,5,4,6,7,6,6,6,"I have carefully read and understand the instructions above.",TRUE,40,9.871,10.502,12.433,2,0,0,2.009,0,"I have carefully read and understand the instructions above.",1.655,7.606,9.487,3,TRUE,0,0,3.009,0,30,4.291,8.297,12.95,4,0,0,3.009,0,30,2.63,2.63,3.929,1,0,0,3.108,0,30,1.55,1.55,2.749,1,0,0,3.013,0,30,1.315,2.446,3.51,2,0,0,3.009,0,30,0.979,0.979,1.585,1,"480","10","0.01","1 in 10","10%","2","2","10","100","20","4","1 in 12 chance","10","28","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",30,2.676,5.258,6.284,2,7,3,4,4,NA,7,7,5,7,7,"Female",27,1,1,1,1,187,30,30,30,30,30,10,30,4.9446,0,0,0,10,4,3.66666666666667,-0.333333333333333,6.2,6.4,0.2
"213",214,"7/12/19 7:53","7/12/19 8:04",11,1,"If you can't be there in person, send a letter.",3,5,5,4,4,3,3,3,"I have carefully read and understand the instructions above.",FALSE,100,5.637,6.278,7.099,3,0,0,2.007,0,"I have carefully read and understand the instructions above.",15.86,15.86,16.658,1,FALSE,0,0,3.006,0,80,2.896,2.896,3.697,1,0,0,3.007,0,90,2.088,2.088,3.042,1,0,0,3.007,0,100,1.768,1.768,2.652,1,0,0,3.007,0,90,2.384,2.384,3.351,1,0,0,3.006,0,100,1.682,1.682,2.445,1,"500","1","1","1 in 10","10%","2","2 in 200","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",90,2.71,6.284,6.873,3,6,5,5,5,4,4,3,3,3,1,"Female",34,1,1,1,5,544,80,90,100,90,100,10,92,3.0374,-2,2,8.36660026534076,8,4.33333333333333,5,0.666666666666667,3.4,3.4,0
"214",215,"7/12/19 7:46","7/12/19 8:04",18,1,"If you can't be there in person, send a letter.",1,1,3,5,5,6,5,5,"I have carefully read and understand the instructions above.",TRUE,20,9.212,9.212,10.577,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",19.79,19.79,21.275,1,FALSE,0,0,4.39,0,20,6.458,6.458,8.257,1,0,0,3.008,0,30,2.294,2.294,3.567,1,0,0,3.008,0,0,5.616,7.158,8.767,2,0,0,3.011,0,20,2.03,2.03,3.3,1,0,0,3.009,0,20,11.357,12.177,13.65,2,"333","10","0.001","1 in 10","10%","2","20","1","100","20","5","1 in 12 chance","1","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",22,212.771,216.257,217.596,4,5,1,2,2,5,5,6,6,6,1,"Male",35,1,1,1,3,496,20,30,0,20,20,10,18,7.5082,4,4,10.9544511501033,2,1.66666666666667,1.66666666666667,0,5.2,5.6,0.399999999999999
"215",216,"7/12/19 7:55","7/12/19 8:04",9,1,"regular old put-a-stamp-on-it
mail mail.
If you can't be there in person,
send a letter.
And if you have trouble finding
the time, let us help you!",1,4,5,4,3,3,4,6,"I have carefully read and understand the instructions above.",FALSE,50,3.336,3.336,4.349,1,0,0,2.007,0,"I have carefully read and understand the instructions above.",11.701,11.701,12.562,1,FALSE,0,0,3.006,0,50,5.282,5.282,6.177,1,0,0,3.107,0,50,1.931,1.931,3.331,1,0,0,3.107,0,50,1.749,1.749,2.609,1,0,0,3.107,0,50,1.925,1.925,2.816,1,0,0,3.106,0,50,1.807,1.807,2.69,1,"300","10","0.01","1 in 10","10%","2%","1 in 50","10","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,1.268,5.331,6.655,2,7,3,4,4,5,5,6,5,6,1,"Male",23,1,1,1,3,232,50,50,50,50,50,11,50,3.5246,0,0,0,0,3.33333333333333,3.66666666666667,0.333333333333333,4,5.4,1.4
